key,title,authors,venue,year,type,doi,url,ee,title_clean,authors_clean,first_author,title_author_combined
conf/neural inf/deeplearningfornatur1,Deep Learning for Natural Language Processing - A Survey,Uma Smith,Neural Information Processing Systems,2024,Conference Paper,10.9833/429206,https://dblp.org/rec/conf/neural inf/deeplearningfornatur1,,Deep Learning for Natural Language Processing - A Survey,Uma Smith,Uma Smith,Deep Learning for Natural Language Processing - A Survey Uma Smith
conf/artificial/neuralarchitecturese390,Neural Architecture Search Techniques,Emma Sanchez,Artificial Intelligence Journal,2021,Conference Paper,10.9978/298280,https://dblp.org/rec/conf/artificial/neuralarchitecturese390,https://doi.org/10.1880/493104,Neural Architecture Search Techniques,Emma Sanchez,Emma Sanchez,Neural Architecture Search Techniques Emma Sanchez
conf/internatio/naturallanguageproce211,Natural Language Processing with Transformers,O. Harris | Leo Hernandez | Tina Brown,International Conference on Machine Learning,2023,Conference Paper,10.7449/284401,https://dblp.org/rec/conf/internatio/naturallanguageproce211,,Natural Language Processing with Transformers,O. Harris | Leo Hernandez | Tina Brown,O. Harris,Natural Language Processing with Transformers O. Harris
conf/kdd/deeplearningfornatur3,Deep Learning for Natural Language Processing,U. Davis | Olivia Brown | K. Taylor | P. Jones,KDD,2020,Conference Paper,10.3938/322938,https://dblp.org/rec/conf/kdd/deeplearningfornatur3,https://doi.org/10.1289/220160,Deep Learning for Natural Language Processing,U. Davis | Olivia Brown | K. Taylor | P. Jones,U. Davis,Deep Learning for Natural Language Processing U. Davis
conf/empirical /neuralarchitecturese383,Neural Architecture Search Techniques,Rachel Thompson,Empirical Methods in Natural Language Processing,2023,Conference Paper,10.3305/987112,https://dblp.org/rec/conf/empirical /neuralarchitecturese383,https://doi.org/10.5923/763997,Neural Architecture Search Techniques,Rachel Thompson,Rachel Thompson,Neural Architecture Search Techniques Rachel Thompson
conf/wsdm/neuralarchitecturese384,Neural Architecture Search Techniques,Xavier Garcia,WSDM,2020,Conference Paper,10.9991/413772,https://dblp.org/rec/conf/wsdm/neuralarchitecturese384,,Neural Architecture Search Techniques,Xavier Garcia,Xavier Garcia,Neural Architecture Search Techniques Xavier Garcia
conf/kdd/knowledgegraphembedd463,Knowledge Graph Embeddings,Grace Jones | Quinn White | L. Wilson,KDD,2020,Conference Paper,,https://dblp.org/rec/conf/kdd/knowledgegraphembedd463,,Knowledge Graph Embeddings,Grace Jones | Quinn White | L. Wilson,Grace Jones,Knowledge Graph Embeddings Grace Jones
conf/acl/explainableai:method309,Explainable AI: Methods and Challenges,Carol Johnson | Tina Gonzalez | D. Williams | Iris Miller,ACL,2024,Conference Paper,10.8381/602780,https://dblp.org/rec/conf/acl/explainableai:method309,https://doi.org/10.7490/928914,Explainable AI: Methods and Challenges,Carol Johnson | Tina Gonzalez | D. Williams | Iris Miller,Carol Johnson,Explainable AI: Methods and Challenges Carol Johnson
conf/neural inf/explainableai:method317,Explainable AI: Methods and Challenges,Victor Wilson | Kate Rodriguez | Tina Jones | D. Gonzalez,Neural Information Processing Systems,2020,Conference Paper,,https://dblp.org/rec/conf/neural inf/explainableai:method317,,Explainable AI: Methods and Challenges,Victor Wilson | Kate Rodriguez | Tina Jones | D. Gonzalez,Victor Wilson,Explainable AI: Methods and Challenges Victor Wilson
conf/journal of/generativeadversaria158,Generative Adversarial Networks: A Survey,Wendy Taylor | Iris Perez | Frank Martin | John Hernandez,Journal of Machine Learning Research,2020,Conference Paper,,https://dblp.org/rec/conf/journal of/generativeadversaria158,https://doi.org/10.1788/670055,Generative Adversarial Networks: A Survey,Wendy Taylor | Iris Perez | Frank Martin | John Hernandez,Wendy Taylor,Generative Adversarial Networks: A Survey Wendy Taylor
conf/aaai/graphneuralnetworksf175,Graph Neural Networks for Social Network Analysis,John White,AAAI,2023,Conference Paper,10.7160/212049,https://dblp.org/rec/conf/aaai/graphneuralnetworksf175,https://doi.org/10.9986/834970,Graph Neural Networks for Social Network Analysis,John White,John White,Graph Neural Networks for Social Network Analysis John White
conf/icml/timeseriesforecastin399,Time Series Forecasting with Deep Learning,Tina Harris,ICML,2021,Conference Paper,,https://dblp.org/rec/conf/icml/timeseriesforecastin399,https://doi.org/10.5047/195389,Time Series Forecasting with Deep Learning,Tina Harris,Tina Harris,Time Series Forecasting with Deep Learning Tina Harris
conf/neural inf/questionansweringsys485,Question Answering Systems using BERT,Peter Sanchez | Noah Harris,Neural Information Processing Systems,2024,Conference Paper,10.7314/430455,https://dblp.org/rec/conf/neural inf/questionansweringsys485,https://doi.org/10.5378/352818,Question Answering Systems using BERT,Peter Sanchez | Noah Harris,Peter Sanchez,Question Answering Systems using BERT Peter Sanchez
conf/iccv/knowledgegraphembedd449,Knowledge Graph Embeddings,Rachel Garcia,ICCV,2023,Conference Paper,10.3320/837680,https://dblp.org/rec/conf/iccv/knowledgegraphembedd449,https://doi.org/10.5499/825164,Knowledge Graph Embeddings,Rachel Garcia,Rachel Garcia,Knowledge Graph Embeddings Rachel Garcia
conf/aaai/deeplearningfornatur9,Deep Learning for Natural Language Processing,Sam Miller | Noah Clark | P. Brown | Noah Smith,AAAI,2024,Conference Paper,10.4733/255503,https://dblp.org/rec/conf/aaai/deeplearningfornatur9,https://doi.org/10.7915/149889,Deep Learning for Natural Language Processing,Sam Miller | Noah Clark | P. Brown | Noah Smith,Sam Miller,Deep Learning for Natural Language Processing Sam Miller
conf/neurips/reinforcementlearnin197,Reinforcement Learning for Game Playing,Henry Johnson | J. Smith | Xavier Perez,NeurIPS,2022,Conference Paper,10.3270/769121,https://dblp.org/rec/conf/neurips/reinforcementlearnin197,https://doi.org/10.9760/467846,Reinforcement Learning for Game Playing,Henry Johnson | J. Smith | Xavier Perez,Henry Johnson,Reinforcement Learning for Game Playing Henry Johnson
conf/computer v/speechrecognitionwit559,Speech Recognition with Deep Learning,Uma Moore | Yara Lee | Tina White | Alice Thompson,Computer Vision and Pattern Recognition,2020,Conference Paper,10.4118/164436,https://dblp.org/rec/conf/computer v/speechrecognitionwit559,https://doi.org/10.6669/328843,Speech Recognition with Deep Learning,Uma Moore | Yara Lee | Tina White | Alice Thompson,Uma Moore,Speech Recognition with Deep Learning Uma Moore
conf/cikm/bert:pre-trainingfor248,BERT: Pre-training for Language Understanding: Methods and Applications,J. Martinez | Wendy Harris | David Harris,CIKM,2024,Conference Paper,,https://dblp.org/rec/conf/cikm/bert:pre-trainingfor248,https://doi.org/10.4751/975042,BERT: Pre-training for Language Understanding: Methods and Applications,J. Martinez | Wendy Harris | David Harris,J. Martinez,BERT: Pre-training for Language Understanding: Methods and Applications J. Martinez
conf/www/graphneuralnetworksf174,Graph Neural Networks for Social Network Analysis,Uma Perez | Uma Sanchez,WWW,2022,Conference Paper,10.6345/809986,https://dblp.org/rec/conf/www/graphneuralnetworksf174,,Graph Neural Networks for Social Network Analysis,Uma Perez | Uma Sanchez,Uma Perez,Graph Neural Networks for Social Network Analysis Uma Perez
conf/empirical /naturallanguageproce225,Natural Language Processing with Transformers,O. Sanchez,Empirical Methods in Natural Language Processing,2022,Conference Paper,10.1068/756002,https://dblp.org/rec/conf/empirical /naturallanguageproce225,https://doi.org/10.8163/790561,Natural Language Processing with Transformers,O. Sanchez,O. Sanchez,Natural Language Processing with Transformers O. Sanchez
conf/naacl/deeplearningfornatur10,Deep Learning for Natural Language Processing,C. Thompson | Iris Lee | U. Thomas | N. Williams,NAACL,2020,Conference Paper,10.4097/422279,https://dblp.org/rec/conf/naacl/deeplearningfornatur10,https://doi.org/10.2765/371985,Deep Learning for Natural Language Processing,C. Thompson | Iris Lee | U. Thomas | N. Williams,C. Thompson,Deep Learning for Natural Language Processing C. Thompson
conf/emnlp/imagesegmentationusi594,Image Segmentation using U-Net,John Jones | Mary Jones | D. Taylor,EMNLP,2024,Conference Paper,10.2864/362677,https://dblp.org/rec/conf/emnlp/imagesegmentationusi594,https://doi.org/10.8340/134133,Image Segmentation using U-Net,John Jones | Mary Jones | D. Taylor,John Jones,Image Segmentation using U-Net John Jones
conf/icml/anomalydetectionusin425,ANOMALY DETECTION USING MACHINE LEARNING,Frank Thompson | Noah Brown,ICML,2023,Conference Paper,10.2153/941975,https://dblp.org/rec/conf/icml/anomalydetectionusin425,https://doi.org/10.2766/678937,ANOMALY DETECTION USING MACHINE LEARNING,Frank Thompson | Noah Brown,Frank Thompson,ANOMALY DETECTION USING MACHINE LEARNING Frank Thompson
conf/naacl/attentionmechanismsi132,Attention Mechanisms in Neural Machine Translation,Peter White,NAACL,2020,Conference Paper,10.2229/509790,https://dblp.org/rec/conf/naacl/attentionmechanismsi132,https://doi.org/10.8787/776696,Attention Mechanisms in Neural Machine Translation,Peter White,Peter White,Attention Mechanisms in Neural Machine Translation Peter White
conf/recsys/gptmodelsfortextgene267,gpt models for text generation,Tina Thomas | Tina Lee | Bob Smith | Kate Sanchez,RecSys,2022,Conference Paper,10.9321/548967,https://dblp.org/rec/conf/recsys/gptmodelsfortextgene267,,gpt models for text generation,Tina Thomas | Tina Lee | Bob Smith | Kate Sanchez,Tina Thomas,gpt models for text generation Tina Thomas
conf/neural inf/transferlearningforc153,Transfer Learning for Computer Vision Tasks,Carol Jackson | Bob Martin | N. Sanchez | T. Thompson,Neural Information Processing Systems,2021,Conference Paper,10.9888/213338,https://dblp.org/rec/conf/neural inf/transferlearningforc153,https://doi.org/10.1945/753715,Transfer Learning for Computer Vision Tasks,Carol Jackson | Bob Martin | N. Sanchez | T. Thompson,Carol Jackson,Transfer Learning for Computer Vision Tasks Carol Jackson
conf/iclr/knowledgegraphembedd467,knowledge graph embeddings,Victor Thompson | Mary Johnson,ICLR,2022,Conference Paper,10.9705/201662,https://dblp.org/rec/conf/iclr/knowledgegraphembedd467,https://doi.org/10.7967/357930,knowledge graph embeddings,Victor Thompson | Mary Johnson,Victor Thompson,knowledge graph embeddings Victor Thompson
conf/empirical /gptmodelsfortextgene253,GPT Models for Text Generation,Carol Clark | Frank Taylor | Iris Jones,Empirical Methods in Natural Language Processing,2022,Conference Paper,10.6273/960862,https://dblp.org/rec/conf/empirical /gptmodelsfortextgene253,https://doi.org/10.7943/242199,GPT Models for Text Generation,Carol Clark | Frank Taylor | Iris Jones,Carol Clark,GPT Models for Text Generation Carol Clark
conf/kdd/imagesegmentationusi589,Image Segmentation using U-Net,Bob Williams | John Gonzalez | Q. Lee | Henry Jones,KDD,2024,Conference Paper,10.3941/490103,https://dblp.org/rec/conf/kdd/imagesegmentationusi589,https://doi.org/10.1273/706699,Image Segmentation using U-Net,Bob Williams | John Gonzalez | Q. Lee | Henry Jones,Bob Williams,Image Segmentation using U-Net Bob Williams
conf/neurips/generativeadversaria165,Generative Adversarial Networks: A Survey,David Garcia | Victor Smith | Sam Thompson,NeurIPS,2023,Conference Paper,10.6386/624738,https://dblp.org/rec/conf/neurips/generativeadversaria165,https://doi.org/10.2608/343975,Generative Adversarial Networks: A Survey,David Garcia | Victor Smith | Sam Thompson,David Garcia,Generative Adversarial Networks: A Survey David Garcia
conf/internatio/deeplearningfornatur8,Deep Learning for Natural Language Processing,Wendy Perez,International Conference on Machine Learning,2022,Conference Paper,10.6646/277878,https://dblp.org/rec/conf/internatio/deeplearningfornatur8,https://doi.org/10.8655/546498,Deep Learning for Natural Language Processing,Wendy Perez,Wendy Perez,Deep Learning for Natural Language Processing Wendy Perez
conf/associatio/recommendationsystem443,Recommendation Systems with Collaborative Filtering,Jack Martin | John Sanchez,Association for Computational Linguistics,2024,Conference Paper,10.4327/589606,https://dblp.org/rec/conf/associatio/recommendationsystem443,https://doi.org/10.3607/100430,Recommendation Systems with Collaborative Filtering,Jack Martin | John Sanchez,Jack Martin,Recommendation Systems with Collaborative Filtering Jack Martin
conf/eccv/deeplearningfornatur16,Deep Learning for Natural Language Processing,Kate Martinez,ECCV,2022,Conference Paper,10.6044/174613,https://dblp.org/rec/conf/eccv/deeplearningfornatur16,,Deep Learning for Natural Language Processing,Kate Martinez,Kate Martinez,Deep Learning for Natural Language Processing Kate Martinez
conf/sigir/sentimentanalysiswit500,Sentiment Analysis with Deep Learning,Wendy Jones | Peter Martinez,SIGIR,2024,Conference Paper,10.9241/480208,https://dblp.org/rec/conf/sigir/sentimentanalysiswit500,https://doi.org/10.2891/121100,Sentiment Analysis with Deep Learning,Wendy Jones | Peter Martinez,Wendy Jones,Sentiment Analysis with Deep Learning Wendy Jones
conf/ieee trans/few-shotlearninginco293,Few-Shot Learning in Computer Vision: Methods and Applications,V. Gonzalez | H. Smith,IEEE Transactions on Pattern Analysis and Machine Intelligence,2023,Conference Paper,10.5133/456769,https://dblp.org/rec/conf/ieee trans/few-shotlearninginco293,https://doi.org/10.1091/569712,Few-Shot Learning in Computer Vision: Methods and Applications,V. Gonzalez | H. Smith,V. Gonzalez,Few-Shot Learning in Computer Vision: Methods and Applications V. Gonzalez
conf/kdd/recommendationsystem436,Recommendation Systems with Collaborative Filtering,Leo Martin | L. White,KDD,2020,Conference Paper,10.1164/448028,https://dblp.org/rec/conf/kdd/recommendationsystem436,https://doi.org/10.8266/683050,Recommendation Systems with Collaborative Filtering,Leo Martin | L. White,Leo Martin,Recommendation Systems with Collaborative Filtering Leo Martin
conf/associatio/textsummarizationusi537,Text Summarization using Neural Networks,Q. Brown | Jane Gonzalez,Association for Computational Linguistics,2021,Conference Paper,10.2080/432812,https://dblp.org/rec/conf/associatio/textsummarizationusi537,https://doi.org/10.9475/407362,Text Summarization using Neural Networks,Q. Brown | Jane Gonzalez,Q. Brown,Text Summarization using Neural Networks Q. Brown
conf/aaai/imagesegmentationusi590,Image Segmentation using U-Net,Jack Martinez,AAAI,2023,Conference Paper,10.3829/560642,https://dblp.org/rec/conf/aaai/imagesegmentationusi590,,Image Segmentation using U-Net,Jack Martinez,Jack Martinez,Image Segmentation using U-Net Jack Martinez
conf/sigir/deeplearningfornatur14,Deep Learning for Natural Language Processing,Uma Smith | C. Johnson,SIGIR,2022,Conference Paper,10.5212/523793,https://dblp.org/rec/conf/sigir/deeplearningfornatur14,https://doi.org/10.2425/388488,Deep Learning for Natural Language Processing,Uma Smith | C. Johnson,Uma Smith,Deep Learning for Natural Language Processing Uma Smith
conf/ijcai/reinforcementlearnin199,Reinforcement Learning for Game Playing,Tina Johnson | S. Smith | Jane Sanchez | Sam Jones,IJCAI,2020,Conference Paper,10.1867/367523,https://dblp.org/rec/conf/ijcai/reinforcementlearnin199,https://doi.org/10.7729/869158,Reinforcement Learning for Game Playing,Tina Johnson | S. Smith | Jane Sanchez | Sam Jones,Tina Johnson,Reinforcement Learning for Game Playing Tina Johnson
conf/eccv/sentimentanalysiswit506,Sentiment Analysis with Deep Learning,X. Brown | D. Brown | Noah Thomas,ECCV,2021,Conference Paper,,https://dblp.org/rec/conf/eccv/sentimentanalysiswit506,https://doi.org/10.6135/611389,Sentiment Analysis with Deep Learning,X. Brown | D. Brown | Noah Thomas,X. Brown,Sentiment Analysis with Deep Learning X. Brown
conf/empirical /neuralarchitecturese378,Neural Architecture Search Techniques,Grace Johnson | Frank Miller | U. Johnson,Empirical Methods in Natural Language Processing,2020,Conference Paper,10.1342/460936,https://dblp.org/rec/conf/empirical /neuralarchitecturese378,,Neural Architecture Search Techniques,Grace Johnson | Frank Miller | U. Johnson,Grace Johnson,Neural Architecture Search Techniques Grace Johnson
conf/www/asurveyofdeeplearnin71,A Survey of Deep Learning Techniques,John Lee | Uma Martin | N. Lee,WWW,2022,Conference Paper,10.5455/490640,https://dblp.org/rec/conf/www/asurveyofdeeplearnin71,,A Survey of Deep Learning Techniques,John Lee | Uma Martin | N. Lee,John Lee,A Survey of Deep Learning Techniques John Lee
conf/acl/anomalydetectionusin419,Anomaly Detection using Machine Learning,Emma Taylor,ACL,2024,Conference Paper,10.3763/954421,https://dblp.org/rec/conf/acl/anomalydetectionusin419,https://doi.org/10.3079/995186,Anomaly Detection using Machine Learning,Emma Taylor,Emma Taylor,Anomaly Detection using Machine Learning Emma Taylor
conf/icml/asurveyofdeeplearnin65,A Study on A Survey of Deep Learning Techniques,P. Clark,ICML,2024,Conference Paper,,https://dblp.org/rec/conf/icml/asurveyofdeeplearnin65,https://doi.org/10.6920/658857,A Study on A Survey of Deep Learning Techniques,P. Clark,P. Clark,A Study on A Survey of Deep Learning Techniques P. Clark
conf/computer v/explainableai:method312,Explainable AI: Methods and Challenges,L. Smith,Computer Vision and Pattern Recognition,2020,Conference Paper,10.1638/418996,https://dblp.org/rec/conf/computer v/explainableai:method312,https://doi.org/10.7663/995827,Explainable AI: Methods and Challenges,L. Smith,L. Smith,Explainable AI: Methods and Challenges L. Smith
conf/iccv/attentionmechanismsi137,A Study on Attention Mechanisms in Neural Machine Translation,John Smith | F. Williams | Alice Taylor | Jack Taylor,ICCV,2023,Conference Paper,,https://dblp.org/rec/conf/iccv/attentionmechanismsi137,,A Study on Attention Mechanisms in Neural Machine Translation,John Smith | F. Williams | Alice Taylor | Jack Taylor,John Smith,A Study on Attention Mechanisms in Neural Machine Translation John Smith
conf/aaai/gptmodelsfortextgene252,GPT Models for Text Generation,David Thomas,AAAI,2020,Conference Paper,10.4838/305789,https://dblp.org/rec/conf/aaai/gptmodelsfortextgene252,https://doi.org/10.5681/740355,GPT Models for Text Generation,David Thomas,David Thomas,GPT Models for Text Generation David Thomas
conf/computer v/deeplearningfornatur18,Deep Learning for Natural Language Processing,Wendy Sanchez | Jane Johnson,Computer Vision and Pattern Recognition,2024,Conference Paper,10.4032/942932,https://dblp.org/rec/conf/computer v/deeplearningfornatur18,https://doi.org/10.7285/535327,Deep Learning for Natural Language Processing,Wendy Sanchez | Jane Johnson,Wendy Sanchez,Deep Learning for Natural Language Processing Wendy Sanchez
conf/neurips/imagesegmentationusi586,Image Segmentation using U-Net,Xavier Lee,NeurIPS,2022,Conference Paper,10.1452/725027,https://dblp.org/rec/conf/neurips/imagesegmentationusi586,https://doi.org/10.4847/573800,Image Segmentation using U-Net,Xavier Lee,Xavier Lee,Image Segmentation using U-Net Xavier Lee
conf/journal of/bert:pre-trainingfor240,BERT: Pre-training for Language Understanding,Henry Thomas,Journal of Machine Learning Research,2020,Conference Paper,10.3755/696348,https://dblp.org/rec/conf/journal of/bert:pre-trainingfor240,,BERT: Pre-training for Language Understanding,Henry Thomas,Henry Thomas,BERT: Pre-training for Language Understanding Henry Thomas
conf/aaai/anomalydetectionusin422,Anomaly Detection using Machine Learning,Zack Clark | Uma Anderson | U. Garcia | G. Jackson,AAAI,2022,Conference Paper,,https://dblp.org/rec/conf/aaai/anomalydetectionusin422,https://doi.org/10.3255/127590,Anomaly Detection using Machine Learning,Zack Clark | Uma Anderson | U. Garcia | G. Jackson,Zack Clark,Anomaly Detection using Machine Learning Zack Clark
conf/eccv/asurveyofdeeplearnin73,A Survey of Deep Learning Techniques,Z. Martin | Quinn Lee,ECCV,2020,Conference Paper,,https://dblp.org/rec/conf/eccv/asurveyofdeeplearnin73,,A Survey of Deep Learning Techniques,Z. Martin | Quinn Lee,Z. Martin,A Survey of Deep Learning Techniques Z. Martin
conf/neurips/machinelearningincom46,Machine Learning in Computer Vision,Victor Moore,NeurIPS,2022,Conference Paper,10.7932/924933,https://dblp.org/rec/conf/neurips/machinelearningincom46,https://doi.org/10.9402/747846,Machine Learning in Computer Vision,Victor Moore,Victor Moore,Machine Learning in Computer Vision Victor Moore
conf/naacl/automl:automatedmach373,AutoML: Automated Machine Learning Systems,Xavier Lopez | D. Thompson | Rachel Martin | J. Smith,NAACL,2024,Conference Paper,10.2702/495444,https://dblp.org/rec/conf/naacl/automl:automatedmach373,https://doi.org/10.3422/321946,AutoML: Automated Machine Learning Systems,Xavier Lopez | D. Thompson | Rachel Martin | J. Smith,Xavier Lopez,AutoML: Automated Machine Learning Systems Xavier Lopez
conf/eccv/machinelearningincom51,Machine Learning in Computer Vision,Tina Johnson | Victor Thompson | B. Gonzalez,ECCV,2021,Conference Paper,10.7611/119677,https://dblp.org/rec/conf/eccv/machinelearningincom51,,Machine Learning in Computer Vision,Tina Johnson | Victor Thompson | B. Gonzalez,Tina Johnson,Machine Learning in Computer Vision Tina Johnson
conf/emnlp/textsummarizationusi544,Text Summarization using Neural Networks,F. White | Uma Rodriguez | Noah Jones | Sam Rodriguez,EMNLP,2020,Conference Paper,,https://dblp.org/rec/conf/emnlp/textsummarizationusi544,,Text Summarization using Neural Networks,F. White | Uma Rodriguez | Noah Jones | Sam Rodriguez,F. White,Text Summarization using Neural Networks F. White
conf/neurips/explainableai:method318,Explainable AI: Methods and Challenges,Uma Martinez | Kate Gonzalez | Carol Williams | John Rodriguez,NeurIPS,2021,Conference Paper,10.8956/431578,https://dblp.org/rec/conf/neurips/explainableai:method318,,Explainable AI: Methods and Challenges,Uma Martinez | Kate Gonzalez | Carol Williams | John Rodriguez,Uma Martinez,Explainable AI: Methods and Challenges Uma Martinez
conf/associatio/naturallanguageproce213,Natural Language Processing with Transformers,Carol Rodriguez | W. Gonzalez | David Miller,Association for Computational Linguistics,2020,Conference Paper,10.1267/158224,https://dblp.org/rec/conf/associatio/naturallanguageproce213,,Natural Language Processing with Transformers,Carol Rodriguez | W. Gonzalez | David Miller,Carol Rodriguez,Natural Language Processing with Transformers Carol Rodriguez
conf/artificial/automl:automatedmach365,AutoML: Automated Machine Learning Systems,David Martin | B. Moore | Yara Thomas | Zack Thomas,Artificial Intelligence Journal,2024,Conference Paper,10.4968/298109,https://dblp.org/rec/conf/artificial/automl:automatedmach365,,AutoML: Automated Machine Learning Systems,David Martin | B. Moore | Yara Thomas | Zack Thomas,David Martin,AutoML: Automated Machine Learning Systems David Martin
conf/recsys/neuralarchitecturese389,Neural Architecture Search Techniques,Kate Miller | Peter Rodriguez | Kate Lopez | Jane Rodriguez,RecSys,2024,Conference Paper,,https://dblp.org/rec/conf/recsys/neuralarchitecturese389,https://doi.org/10.6333/184155,Neural Architecture Search Techniques,Kate Miller | Peter Rodriguez | Kate Lopez | Jane Rodriguez,Kate Miller,Neural Architecture Search Techniques Kate Miller
conf/www/convolutionalneuraln81,Convolutional Neural Networks for Object Detection,Jane Rodriguez,WWW,2022,Conference Paper,,https://dblp.org/rec/conf/www/convolutionalneuraln81,https://doi.org/10.1800/195195,Convolutional Neural Networks for Object Detection,Jane Rodriguez,Jane Rodriguez,Convolutional Neural Networks for Object Detection Jane Rodriguez
conf/cikm/automl:automatedmach372,AutoML: Automated Machine Learning Systems,Leo Lee | D. Williams | Yara Lee | Z. Johnson,CIKM,2020,Conference Paper,10.8486/197356,https://dblp.org/rec/conf/cikm/automl:automatedmach372,https://doi.org/10.9580/142668,AutoML: Automated Machine Learning Systems,Leo Lee | D. Williams | Yara Lee | Z. Johnson,Leo Lee,AutoML: Automated Machine Learning Systems Leo Lee
conf/internatio/timeseriesforecastin398,Time Series Forecasting with Deep Learning,B. Jones | Jack Lee | Carol Brown | Grace Thomas,International Conference on Machine Learning,2022,Conference Paper,10.8620/370339,https://dblp.org/rec/conf/internatio/timeseriesforecastin398,https://doi.org/10.8969/718188,Time Series Forecasting with Deep Learning,B. Jones | Jack Lee | Carol Brown | Grace Thomas,B. Jones,Time Series Forecasting with Deep Learning B. Jones
conf/naacl/knowledgegraphembedd458,Knowledge Graph Embeddings,Emma Davis | Bob Smith,NAACL,2023,Conference Paper,10.8739/167182,https://dblp.org/rec/conf/naacl/knowledgegraphembedd458,https://doi.org/10.6104/161348,Knowledge Graph Embeddings,Emma Davis | Bob Smith,Emma Davis,Knowledge Graph Embeddings Emma Davis
conf/icml/convolutionalneuraln101,Convolutional Neural Networks for Object Detection,Emma White | Emma Jackson | R. Lopez | Olivia Rodriguez,ICML,2022,Conference Paper,10.2984/677193,https://dblp.org/rec/conf/icml/convolutionalneuraln101,https://doi.org/10.6230/345772,Convolutional Neural Networks for Object Detection,Emma White | Emma Jackson | R. Lopez | Olivia Rodriguez,Emma White,Convolutional Neural Networks for Object Detection Emma White
conf/aaai/namedentityrecogniti525,Named Entity Recognition in NLP,Xavier Rodriguez | Henry Davis | Yara White,AAAI,2024,Conference Paper,10.7710/986686,https://dblp.org/rec/conf/aaai/namedentityrecogniti525,https://doi.org/10.3577/650249,Named Entity Recognition in NLP,Xavier Rodriguez | Henry Davis | Yara White,Xavier Rodriguez,Named Entity Recognition in NLP Xavier Rodriguez
conf/cikm/textsummarizationusi553,Text Summarization using Neural Networks,Victor White | Peter Rodriguez | C. Sanchez,CIKM,2022,Conference Paper,10.9973/627481,https://dblp.org/rec/conf/cikm/textsummarizationusi553,https://doi.org/10.6767/135806,Text Summarization using Neural Networks,Victor White | Peter Rodriguez | C. Sanchez,Victor White,Text Summarization using Neural Networks Victor White
conf/iccv/speechrecognitionwit555,Speech Recognition with Deep Learning,Wendy Lee | V. Taylor | A. Jones | Alice Jackson,ICCV,2021,Conference Paper,10.8249/153443,https://dblp.org/rec/conf/iccv/speechrecognitionwit555,https://doi.org/10.9455/587519,Speech Recognition with Deep Learning,Wendy Lee | V. Taylor | A. Jones | Alice Jackson,Wendy Lee,Speech Recognition with Deep Learning Wendy Lee
conf/wsdm/questionansweringsys490,Question Answering Systems using BERT - A Survey,S. Sanchez | Alice Jackson | Zack Thomas | Kate Garcia,WSDM,2021,Conference Paper,10.2088/227958,https://dblp.org/rec/conf/wsdm/questionansweringsys490,https://doi.org/10.6841/631259,Question Answering Systems using BERT - A Survey,S. Sanchez | Alice Jackson | Zack Thomas | Kate Garcia,S. Sanchez,Question Answering Systems using BERT - A Survey S. Sanchez
conf/ijcai/federatedlearningfor347,Federated Learning for Privacy-Preserving ML,O. Clark | Tina White | Leo Sanchez,IJCAI,2022,Conference Paper,10.1722/475186,https://dblp.org/rec/conf/ijcai/federatedlearningfor347,https://doi.org/10.9455/550390,Federated Learning for Privacy-Preserving ML,O. Clark | Tina White | Leo Sanchez,O. Clark,Federated Learning for Privacy-Preserving ML O. Clark
conf/www/sentimentanalysiswit502,Sentiment Analysis with Deep Learning,Quinn Johnson | Jack Garcia | H. Brown | I. White,WWW,2020,Conference Paper,,https://dblp.org/rec/conf/www/sentimentanalysiswit502,,Sentiment Analysis with Deep Learning,Quinn Johnson | Jack Garcia | H. Brown | I. White,Quinn Johnson,Sentiment Analysis with Deep Learning Quinn Johnson
conf/artificial/bert:pre-trainingfor249,BERT: Pre-training for Language Understanding,John Davis | Jack Taylor | Xavier Clark | Carol Clark,Artificial Intelligence Journal,2022,Conference Paper,10.4192/355845,https://dblp.org/rec/conf/artificial/bert:pre-trainingfor249,,BERT: Pre-training for Language Understanding,John Davis | Jack Taylor | Xavier Clark | Carol Clark,John Davis,BERT: Pre-training for Language Understanding John Davis
conf/associatio/imagesegmentationusi588,Image Segmentation using U-Net - A Survey,Wendy Brown | N. Williams | Yara Jones,Association for Computational Linguistics,2024,Conference Paper,10.2205/435293,https://dblp.org/rec/conf/associatio/imagesegmentationusi588,,Image Segmentation using U-Net - A Survey,Wendy Brown | N. Williams | Yara Jones,Wendy Brown,Image Segmentation using U-Net - A Survey Wendy Brown
conf/artificial/namedentityrecogniti533,Named Entity Recognition in NLP,Jane Perez | Kate Clark,Artificial Intelligence Journal,2023,Conference Paper,10.5528/584033,https://dblp.org/rec/conf/artificial/namedentityrecogniti533,https://doi.org/10.6154/841431,Named Entity Recognition in NLP,Jane Perez | Kate Clark,Jane Perez,Named Entity Recognition in NLP Jane Perez
conf/neural inf/textsummarizationusi542,Text Summarization using Neural Networks,Xavier Williams | A. Taylor,Neural Information Processing Systems,2023,Conference Paper,10.8746/786838,https://dblp.org/rec/conf/neural inf/textsummarizationusi542,https://doi.org/10.7432/645778,Text Summarization using Neural Networks,Xavier Williams | A. Taylor,Xavier Williams,Text Summarization using Neural Networks Xavier Williams
